date, pm10, no2, so2, co
08-11-2021,69,10,6,12
09-11-2021,66,9,5,21
10-11-2021,55,10,5,16
11-11-2021,31,10,6,14
12-11-2021,12,10,6,24
13-11-2021,40,10,5,19
14-11-2021,24,10,6,23
15-11-2021,30,10,5,28
16-11-2021,35,10,6,12
17-11-2021,30,10,6,12
18-11-2021,9,10,7,13
19-11-2021,14,10,5,6
20-11-2021,33, , , 
22-11-2021,65,10,7,6
23-11-2021,77,10,7,6
24-11-2021,68,10,6,7
25-11-2021,63,10,6,8
26-11-2021,75,10,6,8
27-11-2021,71,10,7,8
28-11-2021,64,9,5,7
29-11-2021,49,10,5,8
30-11-2021,72,10,6,8
01-12-2021,65,10,6,8
02-12-2021,76,10,6,8
03-12-2021,73,9,6,7
04-12-2021,70,10,6,8
05-12-2021,54,10,5,8
06-12-2021,74,10,6,8
07-12-2021,81,10,6,8
08-12-2021,71,10,6,8
09-12-2021,57,10,5,8
10-12-2021,86,10,6,8
11-12-2021,61,10,6,8
12-12-2021,39,10,5,7
13-12-2021,59,10,5,7
14-12-2021,53,10,5,8
15-12-2021,63,10,5,8
16-12-2021,86,10,6,9
17-12-2021,75,10,7,11
18-12-2021,82,10,5,11
19-12-2021,67,10,6,11
20-12-2021,77,10,7,11
21-12-2021,82,10,5,11
22-12-2021,82,10,6,11
23-12-2021,81,10,6,11
24-12-2021,77, , , 
27-12-2021,73,10,7,11
28-12-2021,63,10,6,11
29-12-2021,61,10,7,11
30-12-2021,86,10,4,11
31-12-2021,74,10,6,11
01-01-2022,47,10,5,11
02-01-2022,49,10,6,11
01-07-2021,44,9,3,10
02-07-2021,40,10,2,11
03-07-2021,48,8,2,13
